particle_id,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
18,0.9033084014187935,0.9495063115135202,0.8867688888087596,0.999832727692344,0.8334614610018796,0.00010803572291074993,0.06130314411887203,0.7722369320284997,0.01679461694665396
22,0.9030648479322184,0.9494403868088973,0.88655584299889,0.9998307769948785,0.8331729385950795,0.00010991778617608361,0.061498156872140344,0.7720587001341936,0.016837287536519193
41,0.9025343760167865,0.9485617706072691,0.8858680755474629,0.9998173388567838,0.8325698653312579,0.00011687398728099652,0.06198561173605631,0.7714086488085719,0.01700345938090633
60,0.9024461488771826,0.9488685455508207,0.8859892295628582,0.9998094276948408,0.8323351781662196,0.00012188208024276214,0.06193962531635559,0.7714776311528496,0.016985498412572075
64,0.9029338103892365,0.9487298586614068,0.8857262906137207,0.9998722293160178,0.8318621393752426,8.80087448725438e-05,0.06223283761955169,0.7708977723880718,0.017053331837927965
70,0.9028817946400545,0.949232869285789,0.886272957320024,0.9998316439715299,0.8327092226237467,0.00010979627445016781,0.06172899542802787,0.7717268807556584,0.01690641212609817
78,0.9024701604117197,0.9488502552913705,0.8859566516586316,0.9998197230425748,0.8323521532424509,0.00011662172962840284,0.06198961673730827,0.771288562319291,0.016988522241694667
84,0.9014680531585554,0.9471882917784591,0.8848210038114559,0.9997595765373923,0.8313013690791717,0.0001459905318673312,0.06273854012230792,0.7703167034067276,0.017272332391825185
85,0.9040028504880966,0.9504684019522033,0.8873583962485694,0.9998644265261564,0.8338403015920561,9.129869087903191e-05,0.06093458921076303,0.7727354862439614,0.016645469908962703
87,0.9022865525806518,0.9484871850944331,0.8855580328434259,0.9998240579258312,0.8319306863497382,0.000114497962082775,0.06229054873966308,0.7709868883352248,0.017076138501441393
90,0.9025132480845496,0.9487249584672861,0.8858747595439682,0.99981473792683,0.8320550624638388,0.00011854657350340858,0.062042540814503125,0.7712627076926478,0.017014732064503692
93,0.9015718628413579,0.9470746756496623,0.8845393286201461,0.9998102946714922,0.8307880751074177,0.00012144309200973819,0.06303749332226902,0.7698446639360362,0.017350816795744295
98,0.9027127157282677,0.9484788661602283,0.8857198171367904,0.9998461116443981,0.8320023050046947,0.00010178967992639325,0.06216176069644559,0.7710381024999158,0.017061576187293793
100,0.9042404704084003,0.950659566501909,0.8876024410658533,0.9998693032698198,0.8343490149876842,8.823874304653145e-05,0.060715907848024935,0.7731301818740991,0.016582781318019806
103,0.9031231299710141,0.9495156560697502,0.8866538398610385,0.9998260086232965,0.8332662745697859,0.00011211269035508546,0.061412878783352394,0.7721849477259938,0.016816023422307876
