id,frames,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
0,47,0.8690191835028734,0.9038849613348428,0.8491832501925528,0.9967586994171143,0.789342806763845,0.002826463741560777,0.09260919025863508,0.7304930387438902,0.03132221655636269
2,11,0.8511583745499225,0.8846932419779127,0.83219342578428,0.9933220039714467,0.7694062533443922,0.005861917394213378,0.10821817905069832,0.7116139416192205,0.04375038952408355
4,18,0.8650808398170358,0.8996106189458629,0.8454571589753712,0.9962188438935713,0.7846775708133227,0.0032995858216761714,0.09601774255195294,0.7260467625146154,0.03386768315589309
6,15,0.8515609169094035,0.884682536629543,0.8320521145195814,0.9940183487805453,0.7695353717020113,0.005201503530972534,0.1078990231077355,0.7116973004320699,0.042186557176562216
7,43,0.8648242302198056,0.8993829601212827,0.8452489024858322,0.9960703741420399,0.7847491894682792,0.0034398845228780475,0.09633064216159912,0.7261389168454985,0.03422270581938049
9,13,0.8757704146519142,0.913065137905366,0.8565931708222407,0.997375878420743,0.7982768163289109,0.0022973874842541083,0.08630438813244003,0.7390614054312975,0.02849392314333189
10,27,0.8592790641777466,0.8932559736580685,0.8396156618091036,0.9949254772879861,0.7780523871722287,0.004447202133532199,0.10123960655855845,0.7196365322263119,0.03797847350652339
13,13,0.8566269482056776,0.8907658353705082,0.8376314095552239,0.99483661218123,0.776041568142094,0.004519982528614087,0.10346068782978746,0.7181566153855297,0.03973984279969879
14,11,0.8438910234022787,0.8769639185743122,0.8253533290141422,0.9917119741439819,0.7615760009582728,0.007263285301936169,0.11448178772466727,0.7042721808532223,0.048809248518338316
18,16,0.8455754422693146,0.8785910077652644,0.8270543271798998,0.9926301566037264,0.7637737613834747,0.006442589976359159,0.1132014788776995,0.7064145420651429,0.047181004147497325
20,12,0.8499306649812612,0.8836981396245354,0.8307838919700683,0.9924054470929232,0.7682260813778394,0.006699993236300846,0.10936298140560287,0.7104861292261782,0.04514184739601256
21,11,0.8655751479998741,0.8999874719607295,0.8458002006227848,0.9958109855651855,0.7849119885327065,0.00368322871832384,0.09573400954166089,0.7259698159181391,0.03410426562501768
22,18,0.8683152364360369,0.9027633749810735,0.8484593786340184,0.9965369701385498,0.7880959200532469,0.003027277846639562,0.09334249650857533,0.7290097739317274,0.0318537448472436
23,10,0.8377336203320456,0.8713184871458585,0.8197394561383108,0.9893517385829579,0.7561043141639396,0.009378289208850926,0.11972281767661311,0.6994376534343527,0.054227261327881665
25,10,0.8774805502633681,0.9134636491394776,0.857884024226063,0.9977209351279519,0.7993330432944101,0.0019826630402045944,0.08502501536564654,0.7396705659867344,0.026522029415470126
27,16,0.8843972388179273,0.9222524926285534,0.8652889450158453,0.9982715194875543,0.8079414547306218,0.0015061852835869002,0.07860383122082215,0.7480749955670475,0.02338538921535592
