id,frames,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
96,29,0.9056638707577682,0.9559050378689408,0.8908381269331422,0.9992314251986417,0.839923576132892,0.0007079548328571642,0.057846081544117744,0.778756202515844,0.015903111351466055
100,32,0.9059408417686917,0.9564241073728758,0.8911426961282302,0.9992204796184193,0.8401889801025391,0.0007184645615375808,0.05758037696401756,0.7790525831009439,0.015888845516509265
184,21,0.904699297595658,0.954012637349865,0.8897182154241956,0.9990860440514304,0.8383854186698183,0.0008463471215994408,0.05880827717034213,0.7772586378937166,0.01659616894167451
194,20,0.9074722990019004,0.9586916929317015,0.8933015217396537,0.9992538040334528,0.8423689032254154,0.0006862432912587085,0.05623618953199271,0.7810589826276454,0.015464120499816957
315,20,0.9056315714193343,0.9552142373790139,0.8911875367976987,0.999050335450606,0.8397814166055968,0.0008818781562796276,0.05816426585955791,0.7785930598426366,0.016524094065101268
