id,frames,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
0,8,0.8883986749938666,0.9311111993448514,0.8702238922623984,0.9961693178523671,0.8158848204024851,0.003575140092935827,0.07476443321589964,0.7553665935076144,0.025380269697405117
1,5,0.8971297049702333,0.9432426486309784,0.8801308382006993,0.9967542019757357,0.8284004093849495,0.003082972036079607,0.06660732985979102,0.7672537645029199,0.0217272319109965
5,6,0.8969313345946353,0.9429032952757194,0.8798961615045015,0.9967731129039418,0.8280804696148389,0.0030618891598553294,0.06680105698395923,0.7669520498617222,0.021766656604868356
6,14,0.8942599171180791,0.9389290739248516,0.8767936818982748,0.9967117743058638,0.8239695911538112,0.003095116107336556,0.06932078337812997,0.762997471463175,0.022720652945766976
7,8,0.8964491874753178,0.9422767539332689,0.8793406003461556,0.9967042424462058,0.8273792103545308,0.0031258546288073477,0.0672481122864298,0.7662697446434106,0.022009670526228875
9,5,0.8965814529872814,0.9424974821276907,0.8794886482372533,0.9966904791918668,0.8276054369260188,0.0031412759659967073,0.0671193242432123,0.7664917889148055,0.021975521717655554
10,8,0.8972278302488262,0.9433791572928496,0.8802451503299079,0.9967627633701671,0.8285307671925792,0.0030751881842863643,0.06651472309267664,0.7673733268029018,0.02168839944518006
11,18,0.8953971439113692,0.9404423646438269,0.8780950612808456,0.9968144568529996,0.8255626077521339,0.0030035731971212146,0.06826106952615531,0.7645005971225108,0.0222092080471433
14,6,0.8968059306001628,0.9427903012518858,0.8797542713109716,0.9967303059317849,0.8279090482894689,0.0031034120442604437,0.06690638377723923,0.7667795442177046,0.021863706171876014
15,5,0.8962622529622051,0.942029169546983,0.8791156075504064,0.9966866319829767,0.8271326136915651,0.003141914888854242,0.06742077168211878,0.7660480975889591,0.022086075167670662
16,11,0.8909882005380894,0.9343499694507786,0.8730938529980707,0.9965968998995695,0.8193411614796886,0.0031764295450153034,0.07239174250378665,0.7586071460776507,0.02399436215792227
17,24,0.8948427556119618,0.9396574088977544,0.8774636604456167,0.9967827038331465,0.824698226092613,0.00302969368122932,0.06878760277506817,0.763654354797105,0.022452420581571184
19,8,0.8938604429168258,0.938517753401072,0.8763246969151354,0.9966690757057883,0.823572428259131,0.0031346344427826502,0.06967933170766714,0.7627058574813966,0.022910451204087183
20,17,0.89333015360568,0.9375327375898003,0.8757182952794342,0.9967255375602029,0.8225488581069529,0.003072115673502493,0.07019896284643425,0.7616627657878668,0.023016369747339338
21,13,0.8922889322725711,0.9362140614408997,0.8745366489051276,0.9966357512907549,0.8211933847976058,0.0031516589062650585,0.07116474283028797,0.7604110217084645,0.02349391681208391
22,36,0.895418174741403,0.9403049277725595,0.878095587579783,0.9968702142888849,0.8253717863396424,0.0029468455662329993,0.06824853908584777,0.7642647070033723,0.02212593500471738
23,10,0.894915443069612,0.9399555497558212,0.877556394318391,0.996698878028176,0.8250208064301374,0.0031156590848695487,0.06869983044733483,0.7640273415070153,0.022519466936393423
24,5,0.8935058753950876,0.9380146639083192,0.8759160257902248,0.9966730854728005,0.8230818216114828,0.003126953757600859,0.07001514750790883,0.7622452560628142,0.023029604599919172
25,10,0.8927450279393002,0.9369285970341121,0.8750478956929423,0.9965876340866089,0.8219471320714036,0.003204175445716828,0.0707237187279276,0.7611375314980555,0.02336149245220529
26,8,0.8939953860941517,0.9386787667910035,0.8764949019914986,0.9966694008220326,0.8237286528495893,0.00313613302164918,0.069563968713025,0.7628304701110883,0.022868458984926305
27,19,0.8914344780984896,0.9350370919264892,0.8735855214654131,0.9965226650238037,0.8199057040149218,0.0032546984827301153,0.07196015622242387,0.7591066180114147,0.023917937655173745
28,11,0.8915781794729386,0.9352533028351827,0.873744990043453,0.9965363199060614,0.8202288232437551,0.003243033159782903,0.07182766533041574,0.759453161421946,0.023835278507683317
29,16,0.8937398364061275,0.9381985731300242,0.8761837014297992,0.9967216903513129,0.8232726430239743,0.0030806948747744574,0.0698098023253751,0.7623802530783136,0.022883405521032154
