id,frames,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
0,27,0.8982029467183009,0.9444625633001209,0.8813728510631285,0.9969377842816439,0.8296334465889081,0.0029068299401034084,0.06561326011117681,0.7683431035977242,0.021167809317590918
1,38,0.8977776442032394,0.9438740785429156,0.8808699724284189,0.9969113956798207,0.8288876210173517,0.0029272230005719596,0.06599801276103559,0.7675799931040571,0.021362979156596663
2,2,0.8979007052405198,0.944275683808348,0.8810188097679227,0.9968402494083751,0.8294788925615075,0.0030035645177122205,0.06588917270482304,0.7682714910573458,0.021379825155855854
3,8,0.8985656588055162,0.9447214099604142,0.8817855220599634,0.9970614910125732,0.8299447102089452,0.002785098664591917,0.06529842317104338,0.7685987410734805,0.020895893583782185
4,30,0.8978625485091055,0.9437523593507575,0.8809589169488438,0.996979453346946,0.8288936566000116,0.0028603017983388985,0.06594808058566357,0.7675798228682241,0.021204467873106387
5,3,0.8980309067187666,0.9441704248628163,0.881160594701665,0.9969192526557229,0.829374078201921,0.0029244893812574446,0.06578121540776218,0.7681173708832828,0.021212943234362833
6,8,0.8985439585591418,0.9447369419976444,0.8817686278640721,0.9970339103178545,0.8299715469961297,0.002812804718915787,0.06530493426035684,0.7686335826739498,0.02092406233345449
7,11,0.8979592233856273,0.9442394836418954,0.8810838076866947,0.9968708103353326,0.8294424635090241,0.002973033907538694,0.06584001664655753,0.7682074256388933,0.021312773384313595
8,43,0.8984497382092023,0.9446005570970261,0.8816534736565635,0.997037486596541,0.829710454156954,0.0028066115660799872,0.0653881802257285,0.7683477567104905,0.020984323343666223
9,1,0.8974586115322483,0.9436993276539201,0.8805117207417137,0.99677912755446,0.8288936566000116,0.0030612956066357177,0.06630456124443605,0.7677273038448036,0.02158759789677255
10,38,0.8984164347462574,0.9443833560983098,0.8815967912610029,0.9970878796143965,0.8295138127183261,0.0027556300984643814,0.06543126953653541,0.7681505668707006,0.02091482682582204
11,13,0.898195248430384,0.9444907808657661,0.8813630619028924,0.9969285184686835,0.8296784979023346,0.0029164601389008262,0.06562060656317745,0.7684067150539556,0.021180450136542
12,6,0.8987071845768582,0.9450798844292355,0.8819618848338946,0.9970213391564109,0.8302876067488161,0.0028272147076980523,0.06514770833842724,0.7689661100009046,0.02091539558142404
13,45,0.8985468035785893,0.9448563716066251,0.8817753644904711,0.9969999898563732,0.830042249535861,0.0028470672776974323,0.0652945070381624,0.7687158065812463,0.02098640878087355
14,10,0.8970393337642522,0.942552122720815,0.8800042633062485,0.9969306859103116,0.8276625594047651,0.0029012877429421577,0.06671321948608719,0.7664012234516964,0.021510904363596414
15,5,0.8982118722695089,0.9443982074486494,0.8813711142766351,0.9969697540456598,0.8296287582345205,0.002875121100158948,0.06561903655529021,0.7683437845410558,0.021110928340671062
16,6,0.8985460225928587,0.9447991939078177,0.8817617859778856,0.9970296296206388,0.8300565840446785,0.0028176146895728177,0.0653109713850251,0.7687506481817157,0.02094073138652639
17,23,0.897937634708643,0.9438520490399119,0.8810552822842863,0.996990832415494,0.8290131826923319,0.0028500127534951186,0.06588490702301622,0.767706591818466,0.02117361423587798
18,8,0.8981187676134704,0.9443554479357967,0.8812642755923378,0.996926567771218,0.8295695340796694,0.0029177961761080143,0.06569957499762615,0.7683021902525476,0.021193296790853803
19,20,0.898440589519214,0.9446365716215994,0.8816506842721952,0.9970168959010731,0.8297571221443072,0.0028278033294352805,0.0653956333197743,0.7684049559503489,0.021013174600060927
