id,frames,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
0,1,0.8789449542931267,0.9191234368732597,0.8600153244030593,0.9952525442296808,0.8036326414918247,0.004368420321649562,0.08335803431200693,0.7438651769096876,0.029950007901807976
1,1,0.8867487868530667,0.9288784225825506,0.8684090556364757,0.9964197657325051,0.8137133039840281,0.003307726910053235,0.07625966725579227,0.7533995184583155,0.025802660107769226
2,1,0.8862957593445653,0.9282781805063265,0.8679104400231593,0.9964011799205433,0.8130955189874727,0.003321147051691595,0.07667199872344373,0.7528203194094711,0.025990587792109526
3,1,0.8860797052206365,0.928151325222176,0.8676736581312118,0.9961317127401178,0.8129067453619552,0.0035858406206696397,0.07686350413833755,0.7526241509846788,0.026324163855468243
4,1,0.8877424238412979,0.9302507492345529,0.8695114940206999,0.9963201176036488,0.8151423898461747,0.003418397856876254,0.07536401626575423,0.7547333729544592,0.025518336473970227
5,1,0.8768892324958377,0.9156861537177937,0.8580222303270308,0.9961531162261963,0.8006430341772837,0.003474889368387974,0.08536949286977928,0.741119443160649,0.02996353706284218
6,1,0.8883648136839712,0.9312100227052359,0.870177998995055,0.9962352080778643,0.8160295666080633,0.0035082123811460203,0.07476141761584454,0.7555627051871291,0.02536316730673169
7,1,0.8723646474497192,0.9104905944433759,0.8532472253275613,0.9952592091126875,0.7952176920355183,0.004287504164191584,0.08938457179500395,0.736026327511586,0.032689736136954264
8,1,0.8777615377723352,0.917276114532897,0.8587714168644554,0.9957513809204102,0.8019341638643449,0.0038671087046774724,0.08446898374212793,0.742319605782679,0.029958844377732358
9,1,0.8854603835361909,0.9270237364476445,0.8669690491137872,0.9962762810967185,0.8119808762040857,0.0034389321550002527,0.07752262899674564,0.751806678515035,0.026364088693155187
10,1,0.8789615223475565,0.9189491191486491,0.860055428382091,0.9955051595514471,0.8036271986896044,0.004123570643261903,0.08339488506317137,0.7438967840293316,0.02970173615088232
