id,frames,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
3,23,0.9050786335219984,0.9552190830614629,0.8898888415397088,0.9992837689139626,0.8391641166112194,0.0006587069292436354,0.05834951494113508,0.7780668041378278,0.01583570659033589
13,51,0.905000200240758,0.9541950934463439,0.8904234033704513,0.9990508773110129,0.8390134426012432,0.0008818344633457147,0.05881614498345248,0.7779059880210035,0.01666457489322153
20,21,0.9046861881923213,0.9536662033593124,0.8899318927927902,0.9989874254573475,0.8384341883332762,0.0009413958226408189,0.059000155832394055,0.7773454581685018,0.01690993244877695
24,29,0.9068017669673989,0.9575978608802179,0.8924365494359957,0.9992085045034235,0.8414347351413884,0.0007302830563276075,0.05686868350189852,0.7801735860606698,0.015757071163032932
26,35,0.9060868861003327,0.9562909480191777,0.8915929974990909,0.9991800568320535,0.8404570785287309,0.0007555138023841815,0.05757282907704272,0.7792557311948857,0.0159954321218971
40,22,0.903782810840681,0.9526642454470615,0.8886319344173504,0.9991777810183439,0.8374351916247851,0.0007577198023985451,0.05975647306585886,0.7764590401865287,0.01648815503056166
44,24,0.9073352360061625,0.9583694873533939,0.8932184191374344,0.9991986426440153,0.8421193426602507,0.0007360569345312089,0.056305281728147014,0.7807655527969827,0.01565763191971021
47,30,0.904960146829712,0.9544738817099088,0.8900428892386931,0.9991033293984153,0.8389073887916461,0.0008306815774024775,0.05858306694461638,0.7777922704846183,0.016485561324459216
48,35,0.9051669964789576,0.954245423934714,0.8907302356509702,0.9989733370867643,0.8391221908673849,0.0009559543476724583,0.05870296815073633,0.7780312815940269,0.016860874118351243
49,20,0.9053576685666386,0.9551620978358628,0.890700236611537,0.9991880221800371,0.8396300420369187,0.0007507782971111333,0.058372982115630634,0.7785826187115513,0.016139004994361557
51,35,0.9053378092152008,0.955027969345675,0.8905801878239102,0.9991012703288685,0.8393477707693022,0.0008318972864395215,0.05824794431766831,0.7781712154486805,0.016410525307608902
56,22,0.9053234725485729,0.9549415869798845,0.890752761245492,0.999026439406655,0.8392967377623468,0.000903073075783646,0.05834312234298292,0.7780952902672018,0.016640191528055855
63,30,0.906242134906657,0.9566340223365657,0.8917018361193505,0.9991736628792502,0.8406587316565317,0.0007649025558041305,0.05741798482745526,0.7794577443832746,0.015996253657766652
64,45,0.9056146686567341,0.9556138446583066,0.8908602841184079,0.9991465156728571,0.8396573099371505,0.0007877640204646417,0.05789766667118991,0.7784182843875136,0.01619753445974054
68,30,0.904169789270243,0.9525536992781254,0.8895314319313035,0.9988744475624778,0.8377421980034816,0.0010506023164553982,0.05962629275149609,0.7766692814401751,0.017354822108526777
70,38,0.9068997248919068,0.9579874537491161,0.8922937119043786,0.9993072856556285,0.8415717752012488,0.0006335671690370267,0.05654795162649039,0.7802773164281909,0.015364385142466526
72,54,0.9050389148191227,0.9545952175984312,0.8901807269304047,0.9990910291671753,0.8388799592240217,0.0008416981145273894,0.05848577977663062,0.7776985272859614,0.016502923717693553
83,25,0.9047380679587178,0.9541608506237045,0.88981868589135,0.9991190433502197,0.838597256843358,0.0008158908781802489,0.05881929092378501,0.7775138214072518,0.016485384378271926
84,25,0.9056601331831999,0.9556493150538332,0.8910713826222091,0.9991658600893888,0.8399126366393208,0.0007716686975780047,0.05801807738930345,0.7788173171798595,0.016144095808392777
90,22,0.9039413509440132,0.9536623268133532,0.8882292104704328,0.9992823600769043,0.8375346709604132,0.0006608291433723125,0.05914474467197096,0.7764575080640325,0.016051564688667662
98,25,0.9058826583317545,0.9557700694604618,0.8914416865545812,0.9990910291671753,0.8401299715042114,0.0008432250987324449,0.057869359132755226,0.7789472071203714,0.01634247866515648
100,21,0.9075492818810694,0.9589149819789506,0.8933509938397717,0.9992113221775402,0.8424214451280359,0.0007277056170601605,0.05610392969774912,0.7810852556911916,0.015586289203126207
112,42,0.9056674409782515,0.9559021304594714,0.8907701817403207,0.9992189624092795,0.839871734788973,0.0007193715597774523,0.05773553521518247,0.7786481027619448,0.015936472027276605
115,23,0.9059781617296802,0.9563681558928648,0.8912480085456088,0.9992170117118142,0.8402978900360736,0.0007203812807953606,0.057525841407029016,0.779093099229177,0.01588119710784239
116,20,0.9060274196154093,0.9557093369071012,0.8918320951063632,0.9990695173090155,0.8404046982935032,0.0008644283031268666,0.057962937527392275,0.7792813233151001,0.016402488700673998
125,24,0.9035137054717596,0.9516638381531942,0.8886627229051898,0.9988779154690829,0.836841010067561,0.0010462114231712702,0.060235728341412824,0.7757903538348502,0.017488404743702796
131,34,0.9076760804929181,0.9587445431749451,0.8937420339502785,0.9992000514810736,0.8427349182024395,0.0007381886664208852,0.05617464522281324,0.7814298130170055,0.015613438706648265
132,59,0.9054318064263601,0.9550768138247607,0.8908293377408872,0.9990797584707086,0.8395108931685147,0.0008524629487914757,0.058237327509615786,0.7782860111453409,0.01646099920753291
133,22,0.9052269650261363,0.9547027271396993,0.8906869212484201,0.9991415305571123,0.8394501601179987,0.0007965424043100534,0.0586689256400947,0.7784837684379071,0.01634465618660413
134,29,0.9057168104333707,0.9558622666451911,0.8910140686679234,0.9991970170627941,0.8398807342738321,0.0007407138812898969,0.05786948947303266,0.7787129626142844,0.016021406197175028
136,27,0.9039951273900414,0.9526019622753172,0.8890226587484947,0.9990008094094016,0.8374606272945666,0.0009289262735465955,0.05963100869971585,0.7763915133061403,0.017026706098947242
160,20,0.9050204500850612,0.954493329048804,0.8903212487466972,0.9991750717163086,0.8392078745855045,0.0007662484066612604,0.05887213798172502,0.7782583761951315,0.016291232882629757
166,23,0.9051643188135952,0.9549959878415117,0.8901651484818569,0.9991659684614702,0.8390625894886174,0.0007688790566236194,0.058228719126747305,0.7778548037805747,0.01622076406354216
169,34,0.9038012755747425,0.9526458318537553,0.8886076194064414,0.9990568377754905,0.8372119828446272,0.0008747840216124638,0.05966530596635427,0.77617344120418,0.016881466682290264
173,25,0.9065812500678662,0.9574966830306831,0.8919020928650406,0.9992562965913252,0.8410909224862921,0.0006835087842773646,0.056883601539106245,0.7797979323227106,0.015618144933558134
176,21,0.9056687240262377,0.9554444395998902,0.8911002238039799,0.9991098317232999,0.839796882786163,0.000824433142649165,0.058032142290149816,0.7786176305478536,0.016326222185592695
180,21,0.9032250754595706,0.9520549816404761,0.8876028094751095,0.999115683815696,0.836356762337358,0.0008158111854249404,0.05988755391304751,0.7752871934580398,0.016778952547570072
189,35,0.9046186887113108,0.9540114097769778,0.8895796935438653,0.9991014870730314,0.8382778020754253,0.0008300226327264681,0.058779406798891265,0.7771126890396334,0.01654390842693089
205,22,0.905638990783776,0.9551917534124507,0.8912640080333066,0.9990120801058683,0.8398337429516936,0.0009189237478292651,0.058222113244504804,0.7786812987493628,0.016639287838599345
207,25,0.9050132538593997,0.9543812322614842,0.8903034072127185,0.9991091814908114,0.8389660740551883,0.0008254501622610001,0.05870327030319765,0.7778531014222455,0.016475310181823195
221,38,0.9034555220348224,0.952845603188852,0.8877426471027834,0.9992499026385221,0.8368188077456331,0.0006885945727440736,0.05960960327142692,0.775760505818813,0.016254692592168034
235,36,0.9011362733381171,0.9489846280226023,0.8849095799226245,0.9991510673002764,0.8336749158493459,0.0007828075354660137,0.06195148628160177,0.772815936616933,0.017122613640817557
236,24,0.9064475899385263,0.9564482065669221,0.8922790807939182,0.9990817091681741,0.8408825332171297,0.0008514041595238572,0.05745260794478726,0.7797314836025973,0.016261573632165547
247,21,0.9055440452328007,0.955986509943183,0.890544873165209,0.9993278221650557,0.8397497297966316,0.0006136018160355485,0.05780994766447917,0.7785871583337624,0.01555073385292128
249,22,0.9056616951546613,0.9563092323942852,0.8905380839089163,0.9992439963600852,0.8396289642543009,0.000694379152264446,0.057530877281384285,0.7783283431224584,0.015825715450260784
258,31,0.9039632743291678,0.9526668944201335,0.8890169220900768,0.9990426952188666,0.8375223842385697,0.0008882813902649408,0.05969763035515704,0.7765071034366876,0.01690616782836372
264,28,0.9050944205906974,0.9548037111619361,0.8901829900158357,0.9991508505561135,0.839092982958441,0.0007848616458229824,0.058450931526092154,0.7779228413684619,0.016300761795929906
268,35,0.9066257662545161,0.9572394095971919,0.8922447661031981,0.9991778893904253,0.8411650200412699,0.0007587283891755053,0.05703766967158719,0.7799052943880004,0.015889974902633233
295,23,0.9065661882002026,0.9571549008952817,0.8922087146259845,0.999198317527771,0.8411492844150492,0.0007403705514863961,0.05717518458883446,0.7799144303777,0.015849739506331863
299,33,0.9061493649587887,0.9572122737754776,0.8910837506472385,0.9993270635604858,0.8404930764681673,0.0006166294503297346,0.057096619024334175,0.7791964323797546,0.015429311754187984
304,27,0.9034158033319467,0.9523185867657007,0.8879160099727712,0.9992042779922485,0.8367554341277033,0.0007320837378049166,0.05982484246592923,0.7757375807266474,0.016452691764597058
308,30,0.9023235947875621,0.9503055610581949,0.8867832041398576,0.9990583549846302,0.8352991881435865,0.0008707530279126432,0.06111371822385902,0.7743880645338759,0.017197104374519285
314,21,0.9050386358956475,0.9543020861148175,0.8903827730924821,0.9990297989411787,0.8389351955831867,0.0008987376123615023,0.058580785989761346,0.7777653164777406,0.0166911014739414
320,20,0.901629019549494,0.949113458566646,0.885860496842764,0.9990031935951926,0.834328537117945,0.0009251236074811055,0.061687807900359826,0.7734933049960901,0.017525285384739048
322,28,0.906614553530811,0.9568671319669114,0.8925221256432211,0.9991034377704967,0.8411861984697107,0.0008322842105472874,0.057307444423078044,0.7799553437228766,0.016157698997933907
