id,frames,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
7,41,0.8991363920205732,0.9420162364960624,0.8820348824965154,0.9985729022459551,0.8280915707758028,0.0012883421780619149,0.06491966024938835,0.7668840690191125,0.018240061313864006
8,35,0.8994082866242471,0.9425805259283394,0.8823518723465265,0.9984915689988569,0.8285653101254817,0.0013683211566078372,0.06464261606515172,0.767338712183543,0.018302249773615845
10,38,0.8992110877272452,0.9423417285910045,0.8820548818561376,0.9985791878266768,0.8282472025858214,0.0012811878793096791,0.06480075436902333,0.7670666753225496,0.018231028933232273
13,40,0.9008438499666648,0.9442026646691785,0.8841404466554716,0.9986668066544966,0.8304407057696825,0.0012060306083488588,0.06331168186951831,0.768960889435362,0.017572884811906487
17,43,0.8996291940166452,0.9429185797904438,0.8825932856691233,0.9985725771297108,0.8289299778742334,0.0012899645371362567,0.06442868619798177,0.76770721601652,0.018128817232046474
28,62,0.8993318615920285,0.9424173467164835,0.8821388265366569,0.9985444003885443,0.828318282349469,0.001315121804105325,0.06470089001827929,0.7671035597530138,0.01819689818039235
30,71,0.8993965718382866,0.9423346123189668,0.8822767694881559,0.9985052780671553,0.8283938349109807,0.0013545392414218641,0.06464474298149706,0.7671359613065448,0.018199310426374158
32,53,0.9004709292802553,0.9443039013739932,0.8836480413696168,0.9984916773709384,0.8303746376952081,0.0013735874866445859,0.0636655024017196,0.769065584472603,0.01806844517907435
39,66,0.8992567196077961,0.9422593035966199,0.8820823020307774,0.998528307134455,0.8283054567363164,0.0013307643675943837,0.06478577116167689,0.7671133199407675,0.018228268211595906
41,42,0.898393786160067,0.9408512718231763,0.8809260758951484,0.9985361099243164,0.8269068182331243,0.0013175997753731078,0.06559732897453997,0.7658416015236368,0.018373355057305682
43,58,0.8985246012699594,0.9410176069469794,0.8812772225461983,0.9985492771322076,0.8269615695901114,0.0013076812821155828,0.06543218784303549,0.76576034228606,0.018373965341094492
44,69,0.9003203663883151,0.9448123126006176,0.8835487813900185,0.9984705448150635,0.8305719796925375,0.0013919995706399074,0.06365944157881909,0.7692484177571505,0.0182826277053469
50,33,0.9000848991905089,0.9445126866075169,0.8832352651129943,0.9984799190001055,0.8302346876222795,0.0013812254651889412,0.06387907087084758,0.7689578251903696,0.018334676065223113
55,38,0.900810713857805,0.9444677612727397,0.8841875504103712,0.9986217780546709,0.8306076004080576,0.0012505552860804729,0.0633682791727135,0.7692071071950305,0.017786697195644404
57,49,0.9004429811480352,0.945042075366496,0.883708723637102,0.9984764510935004,0.8308319408599645,0.0013872009423923574,0.06354774588561919,0.7695227811745271,0.01825488145983608
58,60,0.9007113613159209,0.9448360747611609,0.8839515053369361,0.9985386566682295,0.8307147320002726,0.0013276761746965349,0.06334233553294676,0.7693259318064032,0.01795579275005187
