id,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
80,0.8909695684499427,0.9386085838297715,0.8809226549520551,0.9974795363166116,0.8274880125098032,0.003628533055436694,0.06650417737932089,0.7663940735467141,0.022883022739484143
81,0.8926663157345845,0.941669094059654,0.8835702543866654,0.9976031888615001,0.8306127198754925,0.0035202724199431636,0.06446639008550759,0.7692866073290004,0.022324524599628477
82,0.8910252973602977,0.9403842054161928,0.8830605338657693,0.9974015084179965,0.8296838868154239,0.003871449987248828,0.06527811971055456,0.7683772075095843,0.023290508141929216
84,0.888747050414454,0.9374006305622057,0.8808376576736611,0.9971607598391447,0.8268686647284522,0.004210967952126844,0.0672741981155901,0.7657950136506965,0.024376656201132163
85,0.8913466172037858,0.9400175438773429,0.8824640266500918,0.9974766644564542,0.8290208349489185,0.003697453086109211,0.06556904513433755,0.767780587660505,0.02292255757332972
86,0.8899248884657406,0.9385882240270085,0.8815577925097396,0.9973070621490479,0.827884798180567,0.003974141598316944,0.06648368433297398,0.7667352261558698,0.02371284799623981
87,0.889008959557714,0.9363597510700404,0.8794422813008661,0.9972640384327282,0.8253778758114332,0.003945073074040313,0.06805373369211173,0.7644840275014407,0.02387197317466558
88,0.8887158667699211,0.9360704567816899,0.8792680237226846,0.9972313100641425,0.8252021972447225,0.003996865869137562,0.06822555772511354,0.7642962573777388,0.02402359439029165
89,0.8860636392284621,0.9320780845489821,0.8761018619450296,0.9969765273007479,0.8212516389481008,0.004290452796137995,0.07098519317356936,0.7606929322477669,0.025128881526895176
90,0.8874427484594891,0.9348874288484157,0.8785459942104313,0.9970621412450617,0.8242785375412196,0.0042767957460859585,0.06899586284016987,0.7634654497678502,0.024778977663825755
92,0.890703587023944,0.9397510772466356,0.8824768157142712,0.9973796714435924,0.8290382411381969,0.0038852309161383244,0.06569823604750345,0.7677875673296545,0.02338460920767318
93,0.8928265293787683,0.9425174808711508,0.8845109611074189,0.9975905635140159,0.8316698629562169,0.003589020835028754,0.0638295889618885,0.7701941345542547,0.022410273083103095
94,0.8887465483521986,0.9360045650563842,0.8792021310957191,0.99722881750627,0.8251082684895763,0.004001402043892692,0.06825653723923555,0.7641805537566362,0.024019421710303652
95,0.892507385138387,0.9415484159560042,0.8835492550590621,0.9975854158401489,0.8305103305267962,0.00355166544775582,0.06451377470091164,0.7691337355510454,0.02241053128009067
96,0.89101681808665,0.937545308554567,0.8796500114914677,0.9975330179387872,0.8261198213655656,0.003475123317912221,0.06723858559706124,0.7651031752257419,0.022602637061138985
97,0.8893528164180025,0.9381282158773088,0.8813313787068594,0.9972299012270841,0.8275097298295531,0.004107496377805041,0.06680058301931403,0.7664084301019563,0.024063506588965215
98,0.8893160543039644,0.9368569621320616,0.8798337950804166,0.9972870133139871,0.825955675072866,0.003927604974402736,0.06768382206020584,0.7649929191512925,0.023768210485981
99,0.8948353362475202,0.9438805388179475,0.8849929983042064,0.997835863720287,0.8325882954140233,0.0031539019417121178,0.06291810755270072,0.7709790352345345,0.02120964445187124
101,0.8936844422039428,0.9413170545609701,0.8826627044989697,0.9977770176800814,0.8297176753004938,0.003159928015924783,0.0646972108677209,0.768363475152396,0.021461209568568472
102,0.8925872130370036,0.9417788519054582,0.8837754583423674,0.9975915388627485,0.8307518077223268,0.0035487724429306886,0.06437778239508708,0.7693862520365317,0.022385524089336136
104,0.8890792482734771,0.9372881580760332,0.8805289307169675,0.9972256205298684,0.8265611194584468,0.004072255610177915,0.06737108241362744,0.7655107198097334,0.024073912108121775
105,0.8874966922596025,0.9349730634127643,0.8786615694570898,0.9970752542669122,0.82430752989364,0.004250424545413504,0.06898121140807507,0.763505398443307,0.024728157996607197
108,0.8872504586156517,0.9358787044574857,0.8798645835682559,0.9969757686961781,0.825538411532363,0.004503970991613137,0.068314070622605,0.7646046679616978,0.025199416249409672
110,0.8861060913813952,0.9340394122151509,0.8783371587920611,0.9968643621964888,0.8237311317496103,0.00462824474218198,0.06956024809056016,0.7629432229777537,0.025668296562123792
112,0.8868387117814873,0.9361892839941793,0.88045893295829,0.99688213521784,0.8261114146611461,0.004716027101191382,0.06808267515825937,0.7651280864026246,0.02563103855625955
113,0.8868643727412103,0.93565036618468,0.8798167956247377,0.99691518870267,0.8254210410052782,0.0046163263355588745,0.0684562896389559,0.7644899857555927,0.025473697284293384
114,0.88814044764048,0.9371226267099327,0.8808297105597059,0.9970676140351729,0.8267791009929082,0.004387274759614633,0.06744872967162763,0.765723741581984,0.024803394432098214
116,0.8895636267805965,0.9379221499947984,0.8809885475790208,0.9972754716873169,0.8271600432591897,0.004004114753721903,0.06694631529859749,0.7660724413130655,0.023842338299441455
117,0.8870776934150817,0.9360493566224628,0.8801613635390699,0.9969338287006725,0.8258547946198347,0.004601277423919075,0.06818126572901943,0.7648890752932161,0.02539541304100499
118,0.8870931457756105,0.9362933657737587,0.8804398809367552,0.996923262422735,0.8261682676942381,0.004637832332971609,0.06800686451325932,0.7651752417283413,0.025446873686759137
119,0.8882468848386355,0.9381375320294821,0.8819702529869996,0.9970331517132845,0.8280046476076728,0.004515915436463224,0.06674427601946405,0.7668385025611698,0.024985591226658378
120,0.8872310455417742,0.9362905894370183,0.8803564625551733,0.9969471584666859,0.8260875956652916,0.004587933227109413,0.06801492191222776,0.7650998839996389,0.02533996930046352
121,0.8869338246865476,0.9357625301889926,0.8798976351415262,0.9969209866090254,0.8255441776693684,0.004611422863995863,0.06837833430393632,0.7646107397064049,0.025446669656971753
122,0.887242983466515,0.9342175296411411,0.8778474902606809,0.9970739538019354,0.8233671645595604,0.004210816062469449,0.06953882488859704,0.7627127236599908,0.024699389796586115
123,0.8877991010914688,0.9345949263487207,0.8780042747141398,0.99714656309648,0.8237587229846275,0.004092208387899316,0.06923821281237774,0.7630323130636444,0.024376885508946303
124,0.8893241988694418,0.9380583138878225,0.881261170428607,0.9972290342504327,0.8274464639898849,0.004105923826702767,0.06683565047850092,0.7663344342599172,0.02406964553832012
125,0.8866670622748183,0.9310561458430238,0.8744868083957534,0.9971392479809847,0.8198586588036525,0.003932279230664588,0.07170607562524725,0.7594755758066127,0.02433039560659629
